"* Select shipping method","* выберите метод доставки"
"AVS Status: %s","AVS статус: %s"
"Add","Добавить"
"Add Shipping Method","Добавить способ доставки"
"Allowed Methods","Разрешённые способы"
"Amount: %s","Сумма: %s"
"Auto-generated from GoogleCheckout Charge","Сгенерировано автоматически из GoogleCheckout Charge"
"Buyer account age: %s days","Возраст аккаунта покупателя: %s дней"
"CC Partial: xxxx-%s","Частичное CC: хххх- %s"
"CID Status: %s","CID статус: %s"
"Carrier Calculated Methods","Способы доставки курьером"
"Cart Discount","Скидка для корзины"
"Checkout Image Style","Стиль изображения для оформления"
"Continue Shopping URL","URL для продолжения покупок"
"Debug","Debug"
"Default Package Height (in)","Default Package Height (in)"
"Default Package Length (in)","Default Package Length (in)"
"Default Package Width (in)","Default Package Width (in)"
"Default price for methods","Стандартные цены для способов"
"Default price:","Цена по умолчанию:"
"Delivery Address Category","Категория адреса доставки"
"Disable Default Tax Tables","Disable Default Tax Tables"
"Eligible for protection: %s","Право на защиту: %s"
"Enable","Включить"
"Enable Carrier Calculated","Включить расчет стоимости доставки курьером"
"Enable Flat Rate","Enable Flat Rate"
"Enable Merchant Calculated","Enable Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Expiration: %s","Истечение срока: %s"
"Financial: %s -> %s","Финансовый: %s -> %s"
"Free Shipping","Бесплатная доставка"
"Fulfillment: %s -> %s","Выполнение: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google авторизация:"
"Google Buyer Id: %s","Google id покупателя: %s"
"Google Charge:","Google обязанности:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google checkout доставка — Вызов курьера"
"Google Checkout Shipping - Flat Rate","Google checkout доставка — плавающая величина"
"Google Checkout Shipping - Merchant Calculated","Google checkout доставка — вычисляемая продавцом"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Google номер заказа: %s"
"Google Refund:","Google возврат:"
"Google Risk Information:","Google информация о рисках:"
"Google order status change:","Google изменения статуса заказа:"
"Hide Cart Contents During Checkout","Hide Cart Contents During Checkout"
"IP Address: %s","IP-адрес: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Invoice auto-created: %s","Платеж автоматически создан: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing E-Mails: %s"
"Large - %s","Большой - %s"
"Latest Charge: %s","Последнее пополнение: %s"
"Latest Refund: %s","Последний возврат: %s"
"Location","Местонахождение"
"Medium - %s","Medium - %s"
"Merchant ID","ID продавца"
"Merchant Key","Ключ продавца"
"New order status","Новый статус заказа"
"No","Нет"
"Optional, leave empty for home page.","Необязательно, оставьте пустым для домашней страницы."
"Rate 1 Amount","Rate 1 Amount"
"Rate 1 Ship To Applicable Countries","Rate 1 Ship To Applicable Countries"
"Rate 1 Ship to Specific Countries","Rate 1 Ship to Specific Countries"
"Rate 1 Title","Rate 1 Title"
"Rate 2 Amount","Rate 2 Amount"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Countries"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Countries"
"Rate 2 Title","Rate 2 Title"
"Rate 3 Amount","Rate 3 Amount"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Countries"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Countries"
"Rate 3 Title","Rate 3 Title"
"Remove","Удалить"
"Required for live Google Checkout transactions.","Required for live Google Checkout transactions."
"Sandbox","Песочница (Sandbox)"
"Secure Callback URL","Secure Callback URL"
"Small - %s","Маленький - %s"
"Total Charged: %s","Общая оплата: %s"
"Total Refunded: %s","Общий возврат: %s"
"Transparent","Transparent"
"United Kingdom","Великобритания"
"United States","США"
"Virtual item to reflect discount total","Виртуальный товар, чтобы отразить общую скидку"
"White Background","Белый фон"
"You will be redirected to GoogleCheckout in a few seconds.","Вы будете перенаправлены на сайт GoogleCheckout через несколько секунд."
