"%s Item(s)","%s Item(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento демонстрационный магазин. Все права защищены."
"(ver. %s)","(вер. %s)"
"Click <a href=""%s"">here</a> if nothing has happened","Нажмите <a href=""%s"">сюда</a>, если ничего не произошло"
"Close Window","Закрыть окно"
"Default Description","Стандартное описание"
"Default welcome msg!","Стандартное приветствие!"
"Help Us to Keep Magento Healthy","Помогите сделать Magento еще лучше - сообщайте о всех ошибках"
"Interface Language","Язык интерфейса"
"Items %s to %s of %s total","С %s до %s из %s"
"Next Page","Следующая страница"
"Page:","Страница:"
"Previous Page","Предыдущая страница:"
"Redirecting...","Перенаправление..."
"Report All Bugs","Сообщайте обо всех ошибках"
"Select Store","Выберите магазин"
"Show","Показать"
"Skip to Main Content","Пропустить"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Это демонстрационный магазин. Any orders placed through this store will not be honored or fulfilled."
"Welcome, %s!","Добро пожаловать, %s!"
"You're currently on:","Ваша валюта:"
"Your Language","Ваш язык"
"Your Language:","Ваш язык:"
"per page","на страницу"
