"Billing Information","Платежная информация"
"Change Payment Method","Изменить способ оплаты"
"Change Shipping Address","Изменить адрес доставки"
"Edit Shopping Cart","Редактировать корзину"
"Incl. Tax","Вкл. Налог"
"Items in Your Shopping Cart","Товары в Вашей корзине"
"No shipping method required.","Доставка не требуется."
"PayPal Account","PayPal аккаунт"
"PayPal Email","PayPal Email"
"Payment Method","Метод поалты"
"Place an Order","Разместить заказа"
"Please select a shipping method...","Выберите способ доставки"
"Price","Цена"
"Product Name","Название товара"
"Qty","Кол-во"
"Review Order","Обзор заказа"
"Shipping Address","Адрес доставки"
"Shipping Information","Информация о доставке"
"Shipping Method","Способ доставки"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Submitting order information...","Передача информации о заказе...."
"Subtotal","Итого"
"Update Shipping Method","Обновить способ доставки"
"You will be redirected to PayPal website when you place an order.","Вы будете перенаправлены на сайт PayPal, когда оформите заказ."
"You will be redirected to Paypal in a few seconds.","Вы будете перенаправлены на сайт Paypal через несколько секунд."
"Your billing address will be ignored and you will be redirected to PayPal website","Ваш платежный адрес будет проигнорирована, и Вы будете перенаправлены на сайт PayPal"
