"%d Review(s)","%d отзыв(ов)"
"%s Review(s)","%s отзыв(ов)"
"(Posted on %s)","(добавлено на %s)"
"1 star","1 звезда"
"2 stars","2 звезды"
"3 stars","3 звезды"
"4 stars","4 звезды"
"5 stars","5 звезд"
"Add New Review","Добавить новый отзыв"
"Add Your Review","Добавьте ваш отзыв"
"Administrator","Администратор"
"All Reviews","Все отзывы"
"All reviews of customer `%s`","Все отзывы покупателя `%s`"
"Allow guests to write reviews","Разрешить гостям писать отзывы"
"Are you sure you want to do this?","Уверены?"
"Are you sure?","Вы уверены?"
"Average Customer Rating","Средний рейтинг пользователей"
"Average Customer Rating:","Средний рейтинг пользователей"
"Back","Назад"
"Back to Main Product Info","Вернуться к полному описанию"
"Back to My Reviews","Вернуться к моим отзывам"
"Back to Product Reviews","Вернуться к отзывам товара"
"Be the first to review this product","Разместите первым отзыв для этого товара"
"Created On","Создано"
"Customer","Пользователь"
"Customer Reviews","Отзывы пользователей"
"Delete","Удалить"
"Delete Review","Удалить отзыв"
"Detailed Rating","Подробная рейтинг"
"Edit Review '%s'","Изменить отзыв '%s'"
"Guest","Гость"
"How do you rate this product?","Как вы оцениваете этот продукт?"
"ID","ID"
"Manage Ratings","Управление рейтингами"
"My Product Reviews","Мои отзывы о товарах"
"My Recent Reviews","Моя последние отзывы"
"Name","Имя"
"Name In Store","Название в магазине"
"New Review","Новый отзыв"
"Nickname","Никнейм"
"Pending Reviews","Pending Reviews"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Пожалуйста, выберите товар"
"Please select one of each of the ratings above","Пожалуйста, выберите один вариант для каждой оценки выше"
"Posted By","Создано"
"Price","Цена"
"Product","Продукт"
"Product Name","Название продукта"
"Product Rating","Рейтинг товара"
"Product Rating:","Рейтинг товара:"
"Product Review (submitted on %s):","Отзывы о товаре (%s):"
"Product Reviews","Отзывы о товаре"
"Product SKU","SKU товара"
"Qty","Кол-во"
"Rating:","Рейтинг:"
"Review","Отзыв"
"Review Details","Подробности отзыва"
"Review by %s","Отзыв пользователя %s"
"Reviews and Ratings","Отзывы и рейтинги"
"SKU","SKU"
"Save Review","Сохранить отзыв"
"Status","Состояние"
"Submit Review","Добавить отзыв"
"Summary Rating","Общий рейтинг"
"Summary of Review","Итог отзыва"
"Summary of Your Review","Оценка вцелом"
"Summary of review","Оценка вцелом"
"Title","Заголовок"
"Type","Тип"
"Unable to post review. Please, try again later.","Не удается разместить отзыв. Пожалуйста, попробуйте еще раз позднее."
"Update status","Обновить состояние"
"View All Reviews","Cмотреть все отзывы"
"View Details","Подробнее"
"Visible In","Видимый в"
"Websites","Сайты"
"Write Your Own Review","Напишите ваш собственный отзыв"
"You have submitted no reviews.","У вас нет отправленных отзывов"
"You're reviewing: %s","Ваши отзывы: %s"
"Your Rating:","Ваша рейтинг:"
"Your Review (submitted on %s):","Ваш отзыв (отправлен %s):"
"Your review has been accepted for moderation","Ваш отзыв был принят для модерации"
