"ALL","ВСЕ"
"ANY","ЛЮБОЕ"
"Add","Add"
"Apply","Apply"
"Description: %s","Description: %s"
"Expire at: %s","Expire at: %s"
"FALSE","ЛОЖЬ"
"If %s of these conditions are %s:","Если %s из этих условий %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Name: %s"
"Open Chooser","Выбрать"
"Perform following actions","Выполнить следующие действия"
"Please choose a condition to add...","Пожалуйста, выберите условие, чтобы добавить ..."
"Please choose an action to add...","Пожалуйста, выберите действие, чтобы добавить ..."
"Remove","Remove"
"Start at: %s","Start at: %s"
"TRUE","ИСТИНА"
"by","до"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","до"
