"Add Recipient","Добавить получателя"
"Allow for Guests","Allow for Guests"
"Email Address","Email адрес"
"Email Address:","Email адрес:"
"Email templates","Шаблоны Email"
"Email to a Friend","Отправить другу"
"Email:","Email:"
"Enabled","Включено"
"Limit Sending By","Ограничить отправку до"
"Link to a friend was sent.","Ссылка отправлена другу"
"Max Products Sent in 1 Hour","Макс. Кол-во продуктов отправляемых за 1 час"
"Max Recipients","Макс. Кол-во получателей"
"Maximum %d email addresses allowed.","Макс %d кол-во email адресов."
"Message:","Сообщение:"
"Name","Имя"
"Name:","Имя:"
"Recipient:","Получатель:"
"Remove Email","Удалить Email"
"Select email template","Выбрать email шаблон"
"Send email","Отправить email"
"Send product to a friend","Send product to a friend"
"Sender:","Отправитель:"
"Some emails was not sent","Some emails was not sent"
"Some problems with data.","Some problems with data."
"You cannot email this product to a friend","You cannot email this product to a friend"
"You cannot send more than %d times in an hour","You cannot send more than %d times in an hour"
