"Action","Действие"
"Add Sitemap","Добавить карту сайта"
"Always","Всегда"
"CMS Pages Options","Параметры CMS страниц"
"Categories Options","Настройки разделов"
"Daily","Ежедневно"
"Edit Sitemap","Редактировать карту сайта"
"Enabled","Включено"
"Error Email Recipient","Ошибка в адресе получателя"
"Error Email Sender","Ошибка в адресе отправителя"
"Error Email Template","Ошибка в шаблоне сообщения"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Невозможно сохранить файл ""%s"". Убедитесь, что папка ""%s"" доступна для записи браузером."
"Filename","Имя файла"
"Frequency","Частота"
"Generate","Сгенерировать"
"Generation Settings","Общие настройки"
"Google Sitemap","Google Sitemap"
"Google Sitemap Section","Google Sitemap Section"
"Hourly","Каждый час"
"ID","ID"
"Last Time Generated","Последнее время генерации"
"Link for Google","Ссылка на Google"
"Monthly","Ежемесячно"
"Never","Никогда"
"New Sitemap","Новая карта сайта"
"Path","Путь"
"Please create the specified folder ""%s"" before saving the sitemap.","Создайте указанную папку ""%s"" до сохранения карты сайта."
"Please define correct path","Укажите правильный путь"
"Please make sure that ""%s"" is writable by web-server.","Please make sure that ""%s"" is writable by web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed."
"Priority","Приоритет"
"Priority must be between 0 and 1","Приоритет должен быть между 0 и 1"
"Products Options","Опции товаров"
"Sitemap","Карта сайта"
"Sitemap ""%s"" has been successfully generated","Карта ""%s"" успешно сгенерирована"
"Sitemap generate Warnings","Ошибки генерации карты сайта"
"Sitemap was successfully deleted","Карта сайта была удален"
"Sitemap was successfully saved","Карта сайта была успешно сохранена"
"Start Time","Время начала"
"Store View","Вид магазина"
"This sitemap no longer exists","Эта карта сайта больше не существует"
"Unable to find a sitemap to delete","Не удалось найти карту сайта для удаления"
"Unable to find a sitemap to generate","Невозможно найти карту для генерации"
"Unable to generate a sitemap","Невозможно сгенерировать карту сайта"
"Valid values range from 0.0 to 1.0","Диапазон правильных значений от 0.0 до 1.0"
"Weekly","Еженедельно"
"Yearly","Ежегодно"
