"# of Uses","# использований"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Action"
"Actions","Actions"
"Add New Tag","Добавить новую метку"
"Add Tags","Добавить метки"
"Add Your Tags:","Добавить ваши метки:"
"Add to Cart","Add to Cart"
"Add to Wishlist","Add to Wishlist"
"All Tags","Все метки"
"Approved","Подтверждено"
"Are you sure that you want to delete this tag?","Вы уверены, что вы хотите удалить эту метку?"
"Are you sure you want to delete this tag?","Вы уверены, что хотите удалить эту метку?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Back","Back"
"Back to Tags List","Back to Tags List"
"Back to view Tag","Back to view Tag"
"Block Information","Информация о блоке"
"CSV","CSV"
"Change status","Изменить статус"
"Click on a tag to view your corresponding products.","Нажмите на метку для просмотра соответствующих продуктов."
"Country","Country"
"Customer Since","Пользователь с"
"Customers","Пользователи"
"Customers Tagged '%s'","Отмечено пользователями как '%s'"
"Delete","Delete"
"Delete Tag","Удалить метки"
"Disabled","Disabled"
"Edit Tag","Изменить метку"
"Edit Tag '%s'","Изменить метку '%s'"
"Email","Email"
"First Name","First Name"
"General Information","General Information"
"Grid","Сетка"
"ID","ID"
"Last Name","Last Name"
"List","Список"
"My Recent Tags","Мои последние метки"
"My Tags","Мои метки"
"Name","Name"
"New Tag","Новая метка"
"No matches found.","Соответствий не найдено"
"Other people marked this product with these tags:","Другие пользователи отметели этот продукт с этими метками:"
"Pending","В ожидании"
"Pending Tags","Метки, ожидающие подтверждения"
"Popular","Популярные"
"Popular Tags","Популярные метки"
"Popularity","Популярность"
"Price","Price"
"Product Name","Product Name"
"Product SKU","Product SKU"
"Product Tags","Метки товара"
"Products","Товары"
"Products Tagged with '%s'","Товары с меткой '%s'"
"Products tagged with '%s'","Товары с меткой '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Продукты с меткой '%s'(<a href='%s'>RSS</a>)"
"SKU","SKU"
"Save Tag","Сохранить метку"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Результаты поиска для '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Status"
"Tag","Метка"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Tag Information"
"Tag Name","Название метки"
"Tag Name: %s","Название метки: %s"
"Tag can\'t be empty.","Tag can\'t be empty."
"Tagged in","Отмечено в"
"Tags","Метки"
"Tags Aren't Available","Метки недоступны"
"Tags:","Метки:"
"Telephone","Telephone"
"Thank you. Your tag has been accepted for moderation.","Спасибо. Ваша метка была принята для модерации"
"Unable to find any products tagged with '%s' in the current store","Не удается найти товары отмеченные '%s' для текущего магазина"
"Unable to remove tag. Please, try again later.","Не удается удалить метку. Пожалуйста, попробуйте еще раз позднее."
"Unable to save tag(s)","Не удается сохранить метку(и)"
"Unable to save your tag. Please, try again later.","Не удалось сохранить вашу метку. Пожалуйста, попробуйте еще раз позднее."
"Use spaces to separate tags. Use single quotes (') for phrases.","Используйте пробел для разделения меток или одиночные кавычки (') для фраз"
"Uses","Использований"
"View All Tags","Все метки"
"View Customers","Cмотреть пользователей"
"View Products","View Products"
"Visible In","Visible In"
"XML","XML"
"You have not tagged any products yet.","Вы еще не отметили ниодного товара"
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","Почтовый индекс"
